position,person,personID,start,end
Vice Premier,Pak Hun,Q56820559,2021-01-18,
Vice Premier,Jon Sung Guk,Q114595445,2022-06-10,
Minister of Agriculture,Ju Chol-gyu,Q114593874,2021-01-18,
Minister of Atomic Energy Industry,Wang Chang-uk,Q57071116,2021-01-18,
Minister of the Chemical Industry,Ma Jong-son,Q114593881,2021-01-18,
Minister of the Coal Industry,Jon Hak-chol,Q114593873,2021-01-18,
Minister of Commerce,Pak Hyok-chol,Q114593883,2021-01-18,2022-06-10
Minister of Commerce,Kwak Jong Jun,Q114594317,2022-06-10,
Minister of Construction,So Jong-jin,Q114593886,2021-01-18,
Minister of Construction Control,Ri Hyok-gwon,Q114593885,2021-01-18,
Minister of Consumer Goods Industry,Ri Kang-son,Q63775001,2021-01-18,
Minister of Crude Oil,Ko Kil-son,Q57063516,2013-04,
Minister of Culture,Sung Jong-gyu,Q114593887,2021-01-18,
Minister of Defence,Ri Yong-gil,Q12594419,2021-09-29,
Minister of the Electric Power Industry,Kim Yu-il,Q114593879,2021-01-18,
Minister of the Electronics Industry,Kim Jae-song,Q57064533,2021-01-18,
Minister of the Extraction Industry,Kim Chol-su,Q63774198,2021-01-18,
Minister of Finance,Ko Jong-bom,Q114593880,2021-01-18,
Minister of Fisheries,Song Chun-sop,Q57069172,2021-01-18,
Minister of Food Procurement and Administration,Mun Ung-jo,Q16169323,2021-01-18,2022-06-10
Minister of Food Procurement and Administration,Pak Hyong Ryol,Q114594345,2022-06-10,
Minister of Foreign Affairs,Paek Nam-sun,Q494061,1998-09-05,2007-01-02
Minister of Foreign Affairs,Kang Sok-ju,Q705608,2007-01-03,2007-05-18
Minister of Foreign Affairs,Pak Ui-chun,Q58214,2007-05-18,2014-04-09
Minister of Foreign Affairs,Ri Su-yong,Q9310191,2014-04-09,2016-05-09
Minister of Foreign Affairs,Ri Yong-ho,Q12594422,2016-05-13,2020-01-18
Minister of Foreign Affairs,Ri Son-gwon,Q55708195,2020-01-21,2022-06-11
Minister of Foreign Affairs,Choe Son-hui,Q30436217,2022-06-11,
Minister of Foreign Trade,Ri Ryong-nam,Q16181667,2014-04-09,2019-04-11
Minister of Foreign Trade,Yun Jong-ho,Q114593888,2021-01-18,
Minister of Forestry,Han Ryong-guk,Q57075870,2021-01-18,
Minister of Higher Education,Ri Kuk-chol,Q105705367,2021-01-18,2021-06
Minister of Higher Education,Kim Sung Chan,Q114595747,2021-06,
Minister of Labour,Jin Kum Song,Q114594370,2021-01-18,
Minister of Land and Environment Protection,Kim Kyong-jun,Q56818408,2021-01-18,
Minister of Land and Maritime Transport,Kang Jong-gwan,Q16904817,2021-01-18,
Minister of Light Industry,Jang Kyong-il,Q21651765,2021-01-18,
Minister of Local Industry,Jo Yong-chol,Q12616929,2021-01-18,
Minister of the Machine-Building Industry,Yang Sung-ho,Q63776707,2019-04,2020-04
Minister of the Machine-Building Industry,Kim Jong Nam,Q114595858,2020-04,
Minister of the Metal Industry,Kim Chung-gol,Q16179930,2021-01-18,
Minister of Natural Resources Development,Kim Chung-song,Q114593876,2021-01-18,
Minister of Post and Telecommunications,Kim Yong-ju,Q1062006,2021-01-18,2021-12
Minister of Public Health,Choe Kyong-chol,Q114593869,2021-01-18,
Minister of Railways,Jang Chun-song,Q114593871,2021-01-18,
Minister of Shipbuilding,Kang Chol-gu,Q63773435,2021-01-18,
Minister of Social Security,Ri Yong-gil,Q12594419,2019,2021
Minister of Social Security,Pak Su-il,Q56820402,2022-06,
Minister of Sports,Kim Il-guk,Q57064523,2021-01-18,
Minister of State Security,Jong Kyong-thaek,Q55734042,2018,2022-06
Minister of State Security,Ri Chang-dae,Q114088685,2022-06,
Minister of Urban Management,Im Kyong-jae,Q114593870,2021-01-18,
Secretary General of the Cabinet,Kim Kum-chol,Q56818426,2021-01-18,
President of the Central Bank,Chae Song-hak,Q114593868,2021-01-18,
President of the Academy of Sciences,Kim Sung-jin,Q114593878,2021-01-18,
President of the Board of Education,Kim Sung-du,Q16907639,2021-01-18,
Chairman of the Capital Construction Commission,Jo Sok-ho,Q63777382,2014-04,
Chairman of the Committee for the Peaceful Reunification of the Fatherland,Ri Son-gwon,Q55708195,2016,
Chairman of the National Censorship Committee,Jang Ki-ho,Q63776950,2019,
Chairman of the National Quality Management Commission,Ri Chol-jin,Q63775066,2014,
Chairman of the State Science and Technology Commission,Ri Chung-gil,Q56819749,2021-01-18,2022-06-10
Chairman of the State Science and Technology Commission,Ri Tu Il,Q114594333,2022-06-10,
Chairman of the State Planning Commission,Pak Jong-gun,Q12597103,2021-01-18,
Chairman of the State Price Commission,Choe Kang,Q63777865,2016-11,
Director of the Central Bureau of Statistics,Ri Chol-san,Q114593884,2021-01-18,
Director of the National Aerospace Development Administration,Yu Chol-u,Q39670004,2013,
Chief of General Staff,Ri Yong-ho,Q483800,2009-02,2012-07
Chief of General Staff,Ri Yong-gil,Q12594419,2013-08,2016-01
Chief of General Staff,Pak Jong-chon,Q16905280,2019-09-06,2021-09-07
Chief of General Staff,Rim Kwang-il,Q97162070,2021-09-07,2022-06-08
Chief of General Staff,Ri Thae-sop,Q12594451,2022-06,
Supreme Commander of the Korean People's Army,Kim Jong-un,Q56226,2011-12-17,
Chairman of the Supreme People's Assembly,Choe Thae-bok,Q710692,1998-09-05,2019-04-11
Chairman of the Supreme People's Assembly,Pak Thae-song,Q16905281,2019-04-11,
President of the Presidium of the Supreme People's Assembly,Kim Yong-nam,Q110456,1998-09-05,2019-04-11
President of the Presidium of the Supreme People's Assembly,Choe Ryong-hae,Q714509,2019-04-11,
Vice President of the Presidium of the Supreme People's Assembly,Kim Yong-dae,Q1866337,1998,2019-08-29
Vice President of the Presidium of the Supreme People's Assembly,Pak Yong-il,Q97165506,2019,2022
ambassador to Austria,Kim Kwang-sop,Q29841145,1993,2020
ambassador to Austria,Choe Kang Il,Q105864285,2020,
